海鮮たっぷりサラダ,1287,1287,5000,名詞,普通名詞,一般,*,*,*,海鮮たっぷりサラダ,かいせんたっぷりさらだ,かいせんたっぷりさらだ,*,*,*,*,*
鴨くんせいサラダ,1287,1287,5000,名詞,普通名詞,一般,*,*,*,鴨くんせいサラダ,かもくんせいさらだ,かもくんせいさらだ,*,*,*,*,*
とうふサラダ,1287,1287,5000,名詞,普通名詞,一般,*,*,*,とうふサラダ,とうふさらだ,とうふさらだ,*,*,*,*,*
まるごとトマトサラダ,1287,1287,5000,名詞,普通名詞,一般,*,*,*,まるごとトマトサラダ,まるごととまとさらだ,まるごととまとさらだ,*,*,*,*,*
美桜鶏のバンバンジー,1287,1287,5000,名詞,普通名詞,一般,*,*,*,美桜鶏のバンバンジー,びさくらにわとりのばんばんじー,びさくらにわとりのばんばんじー,*,*,*,*,*
アジのカルパッチョ,1287,1287,5000,名詞,普通名詞,一般,*,*,*,アジのカルパッチョ,あじのかるぱっちょ,あじのかるぱっちょ,*,*,*,*,*
海鮮チリソース炒め,1287,1287,5000,名詞,普通名詞,一般,*,*,*,海鮮チリソース炒め,かいせんちりそーすいため,かいせんちりそーすいため,*,*,*,*,*
北海海鮮バター炒め,1287,1287,5000,名詞,普通名詞,一般,*,*,*,北海海鮮バター炒め,ほっかいかいせんばたーいため,ほっかいかいせんばたーいため,*,*,*,*,*
アサリバター炒め,1287,1287,5000,名詞,普通名詞,一般,*,*,*,アサリバター炒め,あさりばたーいため,あさりばたーいため,*,*,*,*,*
ホタテバター炒め,1287,1287,5000,名詞,普通名詞,一般,*,*,*,ホタテバター炒め,ほたてばたーいため,ほたてばたーいため,*,*,*,*,*
イカバター炒め,1287,1287,5000,名詞,普通名詞,一般,*,*,*,イカバター炒め,いかばたーいため,いかばたーいため,*,*,*,*,*
里芋バター炒め,1287,1287,5000,名詞,普通名詞,一般,*,*,*,里芋バター炒め,さといもばたーいため,さといもばたーいため,*,*,*,*,*
ポテトベーコン炒め,1287,1287,5000,名詞,普通名詞,一般,*,*,*,ポテトベーコン炒め,ぽてとべーこんいため,ぽてとべーこんいため,*,*,*,*,*
豚ホルモン野菜炒め,1287,1287,5000,名詞,普通名詞,一般,*,*,*,豚ホルモン野菜炒め,ぶたほるもんやさいいため,ぶたほるもんやさいいため,*,*,*,*,*
マー坊ナス炒め,1287,1287,5000,名詞,普通名詞,一般,*,*,*,マー坊ナス炒め,まーぼうなすいため,まーぼうなすいため,*,*,*,*,*
ゴーヤチャンプル,1287,1287,5000,名詞,普通名詞,一般,*,*,*,ゴーヤチャンプル,ごーやちゃんぷる,ごーやちゃんぷる,*,*,*,*,*
アサリの酒むし,1287,1287,5000,名詞,普通名詞,一般,*,*,*,アサリの酒むし,あさりのさけむし,あさりのさけむし,*,*,*,*,*
海老水餃子,1287,1287,5000,名詞,普通名詞,一般,*,*,*,海老水餃子,えびすいぎょうざ,えびすいぎょうざ,*,*,*,*,*
ジャンボオムレツ,1287,1287,5000,名詞,普通名詞,一般,*,*,*,ジャンボオムレツ,じゃんぼおむれつ,じゃんぼおむれつ,*,*,*,*,*
ソーセージ,1287,1287,5000,名詞,普通名詞,一般,*,*,*,ソーセージ,そーせーじ,そーせーじ,*,*,*,*,*
魚アラ煮,1287,1287,5000,名詞,普通名詞,一般,*,*,*,魚アラ煮,さかなあらに,さかなあらに,*,*,*,*,*
山芋スタミナ巻き,1287,1287,5000,名詞,普通名詞,一般,*,*,*,山芋スタミナ巻き,やまいもすたみなまき,やまいもすたみなまき,*,*,*,*,*
山芋メンタイ巻き,1287,1287,5000,名詞,普通名詞,一般,*,*,*,山芋メンタイ巻き,やまいもめんたいまき,やまいもめんたいまき,*,*,*,*,*
大きな海老マヨ,1287,1287,5000,名詞,普通名詞,一般,*,*,*,大きな海老マヨ,おおきなえびまよ,おおきなえびまよ,*,*,*,*,*
イカ焼き,1287,1287,5000,名詞,普通名詞,一般,*,*,*,イカ焼き,いかやき,いかやき,*,*,*,*,*
美桜鶏の手仕込み唐揚,1287,1287,5000,名詞,普通名詞,一般,*,*,*,美桜鶏の手仕込み唐揚,びさくらにわとりのてしこみからあげ,びさくらにわとりのてしこみからあげ,*,*,*,*,*
油淋鶏～特製ソース～,1287,1287,5000,名詞,普通名詞,一般,*,*,*,油淋鶏～特製ソース～,あぶらりんにわとり～とくせいそーす～,あぶらりんにわとり～とくせいそーす～,*,*,*,*,*
豆アジの唐揚,1287,1287,5000,名詞,普通名詞,一般,*,*,*,豆アジの唐揚,まめあじのからあげ,まめあじのからあげ,*,*,*,*,*
あげだしとうふ,1287,1287,5000,名詞,普通名詞,一般,*,*,*,あげだしとうふ,あげだしとうふ,あげだしとうふ,*,*,*,*,*
さつま揚,1287,1287,5000,名詞,普通名詞,一般,*,*,*,さつま揚,さつまよう,さつまよう,*,*,*,*,*
手羽餃子,1287,1287,5000,名詞,普通名詞,一般,*,*,*,手羽餃子,てばぎょうざ,てばぎょうざ,*,*,*,*,*
あげカニシューマイ,1287,1287,5000,名詞,普通名詞,一般,*,*,*,あげカニシューマイ,あげかにしゅーまい,あげかにしゅーまい,*,*,*,*,*
